NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
NY CITY CENTRAL PARK,2014-09-27,2.46,0,0,0,83,60
NY CITY CENTRAL PARK,2014-09-28,1.79,0,0,0,84,64
NY CITY CENTRAL PARK,2014-09-29,0.67,0,0,0,79,67
NY CITY CENTRAL PARK,2014-09-30,4.7,0,0,0,71,62
NY CITY CENTRAL PARK,2014-10-01,6.04,0.02,0,0,65,61
NY CITY CENTRAL PARK,2014-10-02,4.7,0,0,0,70,61
NY CITY CENTRAL PARK,2014-10-03,4.25,0,0,0,71,56
NY CITY CENTRAL PARK,2014-10-04,6.71,1.18,0,0,69,52
NY CITY CENTRAL PARK,2014-10-05,5.59,0,0,0,61,46
NY CITY CENTRAL PARK,2014-10-06,3.8,0,0,0,69,50
NY CITY CENTRAL PARK,2014-10-07,4.7,0.06,0,0,71,63
NY CITY CENTRAL PARK,2014-10-08,7.16,0.04,0,0,73,62
NY CITY CENTRAL PARK,2014-10-09,5.59,0,0,0,68,55
NY CITY CENTRAL PARK,2014-10-10,2.24,0,0,0,64,52
NY CITY CENTRAL PARK,2014-10-11,4.47,0.33,0,0,60,50
NY CITY CENTRAL PARK,2014-10-12,2.68,0,0,0,63,48
NY CITY CENTRAL PARK,2014-10-13,2.68,0.05,0,0,65,52
NY CITY CENTRAL PARK,2014-10-14,4.7,0,0,0,76,63
NY CITY CENTRAL PARK,2014-10-15,5.14,0.69,0,0,77,69
NY CITY CENTRAL PARK,2014-10-16,4.03,1.11,0,0,71,61
NY CITY CENTRAL PARK,2014-10-17,4.47,0,0,0,71,59
NY CITY CENTRAL PARK,2014-10-18,6.26,0,0,0,70,56
NY CITY CENTRAL PARK,2014-10-19,7.61,0,0,0,56,44
NY CITY CENTRAL PARK,2014-10-20,3.8,0,0,0,60,42
NY CITY CENTRAL PARK,2014-10-21,3.58,0.11,0,0,67,55
NY CITY CENTRAL PARK,2014-10-22,9.4,1.51,0,0,58,50
NY CITY CENTRAL PARK,2014-10-23,7.61,0.61,0,0,53,50
NY CITY CENTRAL PARK,2014-10-24,4.47,0,0,0,63,51
NY CITY CENTRAL PARK,2014-10-25,5.82,0.01,0,0,67,50
NY CITY CENTRAL PARK,2014-10-26,7.83,0,0,0,63,53
NY CITY CENTRAL PARK,2014-10-27,5.14,0,0,0,63,48
NY CITY CENTRAL PARK,2014-10-28,2.91,0,0,0,72,53
NY CITY CENTRAL PARK,2014-10-29,4.92,0,0,0,72,51
NY CITY CENTRAL PARK,2014-10-30,3.58,0,0,0,59,47
NY CITY CENTRAL PARK,2014-10-31,6.49,0.05,0,0,55,45
NY CITY CENTRAL PARK,2014-11-01,8.95,0.35,0,0,47,42
NY CITY CENTRAL PARK,2014-11-02,10.74,0,0,0,48,41
NY CITY CENTRAL PARK,2014-11-03,5.82,0,0,0,61,39
NY CITY CENTRAL PARK,2014-11-04,4.7,0,0,0,68,53
NY CITY CENTRAL PARK,2014-11-05,4.47,0,0,0,64,56
NY CITY CENTRAL PARK,2014-11-06,3.13,0.37,0,0,57,48
NY CITY CENTRAL PARK,2014-11-07,7.38,0,0,0,53,40
NY CITY CENTRAL PARK,2014-11-08,6.04,0,0,0,48,36
NY CITY CENTRAL PARK,2014-11-09,2.68,0,0,0,57,46
NY CITY CENTRAL PARK,2014-11-10,2.46,0,0,0,61,44
NY CITY CENTRAL PARK,2014-11-11,3.36,0,0,0,64,49
NY CITY CENTRAL PARK,2014-11-12,2.68,0,0,0,65,47
NY CITY CENTRAL PARK,2014-11-13,3.58,0.2,0,0,48,36
NY CITY CENTRAL PARK,2014-11-14,7.16,0.06,0,0,42,35
NY CITY CENTRAL PARK,2014-11-15,3.58,0,0,0,42,33
NY CITY CENTRAL PARK,2014-11-16,3.8,0.03,0,0,45,35
NY CITY CENTRAL PARK,2014-11-17,3.8,1.54,0,0,52,40
NY CITY CENTRAL PARK,2014-11-18,10.07,0,0,0,45,24
NY CITY CENTRAL PARK,2014-11-19,7.16,0,0,0,36,22
NY CITY CENTRAL PARK,2014-11-20,7.16,0,0,0,45,31
NY CITY CENTRAL PARK,2014-11-21,7.61,0,0,0,37,28
NY CITY CENTRAL PARK,2014-11-22,4.92,0,0,0,44,28
NY CITY CENTRAL PARK,2014-11-23,3.8,0,0,0,57,43
NY CITY CENTRAL PARK,2014-11-24,5.37,0.7,0,0,69,53
NY CITY CENTRAL PARK,2014-11-25,5.14,0,0,0,68,51
NY CITY CENTRAL PARK,2014-11-26,8.72,1.24,0.2,0,51,34
NY CITY CENTRAL PARK,2014-11-27,5.14,0.02,0,0,38,34
NY CITY CENTRAL PARK,2014-11-28,5.82,0,0,0,37,29
NY CITY CENTRAL PARK,2014-11-29,3.58,0,0,0,45,27
NY CITY CENTRAL PARK,2014-11-30,4.25,0,0,0,55,45
NY CITY CENTRAL PARK,2014-12-01,6.71,0.09,0,0,65,42
NY CITY CENTRAL PARK,2014-12-02,9.17,0.08,0,0,43,35
NY CITY CENTRAL PARK,2014-12-03,7.61,0.06,0,0,46,41
NY CITY CENTRAL PARK,2014-12-04,5.82,0,0,0,45,37
NY CITY CENTRAL PARK,2014-12-05,6.04,0.51,0,0,44,34
NY CITY CENTRAL PARK,2014-12-06,4.03,1.22,0,0,50,39
NY CITY CENTRAL PARK,2014-12-07,11.86,0.04,0,0,42,30
